ARTICLE: Venture Stores  Best Noun: Stores   TYPE:  facility
--LINKS:
Advertising slogan,slogan,event
Ames (discount stores),discount,event
Bankruptcy,status,event, 1,1
Burlington Coat Factory,burlington,location, 1,2
"Chapter 11, Title 11, United States Code",chapter,organization,2,1
Chicago,city,location,3,2
"Corsicana, Texas",city,location,4,3
"Davenport, Iowa",Cities,location,5,4
Department store,establishment,organization,6,5
Home Depot,home,structure,6,6
Icee,company,organization,7,7
Jewel (supermarket),supermarket,structure,8,7
John F. Geisse,businessman,person,9,8
John Geisse,businessman,person10,9
Julian Seeherman,Seeherman,U
"Kansas City, Kansas",city,location,11,10
Kmart,discount,event
Kohl's,kohl,medium
May Department Stores,store,facility,12,10
Missouri,state,location,13,11
New York Stock Exchange,exchange,location,13,10
"O'Fallon, Missouri",city,location1
"Overland, Missouri",city,location15,12
Retail chain,chain,organization,16,13
Retail stores,stores,facility,17,14
Retailer,retailer,person,18,14
Robert Wildrick,robert,person,18,15
ShopKo,stores,facility,19,15
Slogan,phrase,concept,20,16
St. Louis,st.,U
Target Corporation,retailer,person,21,16
Texas,state,location,22,17
The Museum of Classic Chicago Television,museum,facility,22,17
Ticker symbol,abbreviation,event,23,18
Turn Style,discount,event,23,19
Types of business entity,entity,U,24,19
United States Department of Justice,department,feature,25,19
Venture (department store),discount,event
Wal-Mart,corporation,organization,26,20
Zayre,discount,event
Correct NEs: 26
Correct classifications: 20
Total num of links: 40
================================================
--LINKS:
Bosnia and Herzegovina,country,organization,1,0
Central European Summer Time,time,time,2,1
Central European Time,time,time,3,2
Coordinated Universal Time,standard,money
Daylight saving time,clocks,plant
Geographic coordinate system,system,concept,4,3
Municipalities of Republika Srpska,municipalities,location,5,4
Political divisions of Bosnia and Herzegovina,divisions,concept,6,5
Republika Srpska,Srpska,U
Serbian Cyrillic language,adaptation,event
Time zone,region,location,6,6
Village,community,organization
Correct NEs: 6
Correct classifications: 6
Total num of links: 13
================================================
ARTICLE: Liborio Bellomo  Best Noun: boss   TYPE:  structure
--LINKS:
116th Street Crew,crew,organization,1,1
Adolfo Bruno,mobster,person,2,2
Affidavit,fact,concept,2,3
Alan Longo,caporegime,U
Albert Facchiano,mobster,person,3,4
Albert Gallo,Gallo,U
Alphonse Malangone,caporegime,U
American Mafia,society,organization,4,5
Angelo DeCarlo,member,organization,5,5
Angelo Ponte,angelo,U
Angelo Prisco,mobster,person,6,6
Anthony Antico,captain,person,7,7
Anthony Carfano,gangster,person,7,7
Anthony Federici,Queens,animal
Anthony Provenzano,Caporegime,U
Anthony Russo (mobster),figure,concept,8,7
Anthony Salerno,mobster,person,9,8
Anthony Strollo,mobster,person,10,9
Antonio DiLorenzo,boss,structure,11,9
Apalachin Meeting,summit,location,12,9
Athan Theoharis,historian,person,13,10
Atlantic City Conference,leaders,person,13,11
Attilio Bitondo,associate,person,14,12
Bagman,person,person,15,12
Bonanno crime family,family,organization,16,13
Boss (crime),charge,person
Broadway Mob,gang,organization,17,14
Bufalino crime family,family,organization,18,15
Buffalo crime family,family,organization,19,16
