Giacomo Antonio Cortuso,botanist,person
Dr. Ambedkar Stadium,Stadium,facility
Cochylis sierraemaestrae,moth,animal
Gildardo Guerrero Torres,politician,person
John Forbes (botanist),botanist,person
Keep the Fire Burnin' (Dan Hartman album),album,media
The Yoga Institute,center,location
List of Newcastle United F.C. records and statistics,['List'],money
Rivermead Island,island,location
Louis Bastoul,French,organization
Cathedrals (album),['album'],media
List of EconTalk episodes,list,money
2009 FIFA Club World Cup Final,match,person
Led Zeppelin Deluxe Edition,series,organization
The Sound and The Fury (vocal ensemble),group,organization
431 BC,year,date
Charles Anderton (rugby union),player,person
Siyaban,village,date
Tommy Atherton,football,media
Uba Budo,village,date
Cancioneiro de Elvas,music,organization
Durango chipmunk,rodent,animal
Llwydiarth-Esgob,area,time
New Zealand National Front,party,date
China Three Gorges University,['province'],location
World Culture Open,organization,organization
Paul Beaudry,UNKNOWN,location
Celaenorrhinus leona,butterfly,animal
Goldney,['Goldney'],0
Gangangaon,village,date
King of Hearts (1968 film),film,media
Carlos Alvarez-Aranyos,adventurer,person
Le Langon,commune,date
Georgios Kalaitzis,coach,media
"Nagaram, Guntur district",village,date
Samuel Eliot (banker),banker,person
The Price of the Ticket,collection,person
"Cherryfield, Maine",town,location
Hoonah Seaplane Base,base,facility
Centralpalatset,building,date
Mustangs at Las Colinas,sculpture,concept
Pavel Drsek,footballer,person
Alice Sommerlath,mother,concept
Jujevan,town,location
Garden of Bones,episode,time
Yahoo! Screen,"['Yahoo', 'Screen']",person
Arpaise,comune,0
Eye of a Hurricane,album,media
