Paul Beaudry,UNKNOWN,location
Celaenorrhinus leona,butterfly,animal
Goldney,['Goldney'],0
Gangangaon,village,date
King of Hearts (1968 film),film,media
Carlos Alvarez-Aranyos,adventurer,person
Le Langon,commune,date
Georgios Kalaitzis,coach,media
"Nagaram, Guntur district",village,date
Samuel Eliot (banker),banker,person
The Price of the Ticket,collection,person
"Cherryfield, Maine",town,location
Hoonah Seaplane Base,base,facility
Centralpalatset,building,date
Mustangs at Las Colinas,sculpture,concept
Pavel Drsek,footballer,person
Alice Sommerlath,mother,concept
Jujevan,town,location
Garden of Bones,episode,time
Yahoo! Screen,"['Yahoo', 'Screen']",person
Arpaise,comune,0
Eye of a Hurricane,album,media
"Ayon, Russia",Russia,location
Hultafors,locality,location
Spodnja Idrija,settlement,organization
Brigg railway station,"['railway', 'station']",organization
KOIN Center,m,time
Photograph (Nickelback song),song,organization
Western Berber languages,UNKNOWN,location
Mariaposching,municipality,location
Mike Russow,professional,person
Cidarina cidaris,snail,animal
"Woodglen, New Jersey",community,organization
